Papel,Segmento,Cotação,FFO_Yield,Dividend_Yield,P/VP,Valor_de_Mercado,Liquidez,Qtd_de_imóveis,Preço_do_m2,Aluguel_por_m2,Cap_Rate,Vacância_Média
BRLA11,Outros,"145,00","8,48%","9,11%","0,86",540.478.000,16.071,8,"1.258,15","111,49","8,86%","0,00%"
BROF11,Híbrido,"45,70","14,45%","12,76%","0,42",530.614.000,493.99,2,"5.749,63","1.040,57","18,10%","4,64%"
BTAL11,Outros,"73,34","18,72%","11,31%","0,65",438.774.000,703.357,9,"1.253,10","174,04","13,89%","0,00%"
BTCI11,Títulos e Val. Mob.,"9,50","11,58%","11,07%","0,95",945.451.000,1.656.450,0,"0,00","0,00","0,00%","0,00%"
BTHI11,Hotel,"35,40","10,63%","10,86%","0,56",326.335.000,44.316,12,"634,41","75,41","11,89%","0,00%"
BTLG11,Híbrido,"98,86","4,94%","8,87%","0,95",4.275.610.000,8.779.070,21,"3.350,21","235,69","7,04%","2,43%"
BTRA11,Outros,"40,80","58,12%","10,32%","0,37",137.274.000,263.398,6,"1,53","0,23","15,26%","30,27%"
BTSG11,Logística,"160,01","10,30%","6,09%","1,10",124.010.000,421,1,"6.574,11","736,27","11,20%","0,00%"
BTSI11,Híbrido,"112,35","6,01%","7,40%","1,04",432.022.000,47,4,"929,62","81,23","8,74%","0,00%"
BTWR11,Lajes Corporativas,"118,84","5,97%","5,59%","1,04",96.173.600,6.823,1,"2.579,63","225,65","8,75%","4,00%"
BVAR11,Outros,"1.400,00","6,53%","5,76%","1,62",875.756.000,217,47,"8.594,76","605,77","7,05%","23,15%"
CACR11,Híbrido,"104,60","6,71%","13,23%","1,06",505.879.000,1.379.030,0,"0,00","0,00","0,00%","0,00%"
CARE11,Híbrido,"1,47","-9,68%","0,00%","0,21",52.581.800,10.191,1,"0,00","0,00","0,00%","0,00%"
CBOP11,Lajes Corporativas,"26,07","5,85%","4,67%","0,36",36.889.000,7.654,1,"2.268,01","328,43","14,48%","53,40%"
CCME11,Outros,"8,99","8,30%","10,94%","0,84",609.495.000,692.982,2,"5.794,32","438,00","7,56%","13,22%"
CCVA11,Híbrido,"100,07","1,53%","0,00%","0,99",61.793.200,79.601,1,"2.129,58","33,55","1,58%","4,20%"
CEOC11,Lajes Corporativas,"40,04","13,32%","12,04%","0,55",72.700.500,43.415,1,"4.572,11","730,04","15,97%","0,00%"
CJCT11,Lajes Corporativas,"57,82","2,99%","2,72%","0,80",181.555.000,28.852,1,"9.277,11","587,26","6,33%","45,04%"
CLIN11,Títulos e Val. Mob.,"93,32","8,13%","11,17%","0,95",405.640.000,1.179.470,0,"0,00","0,00","0,00%","0,00%"
CNES11,Lajes Corporativas,"1,26","7,52%","7,19%","0,16",43.009.900,88.41,1,"619,21","175,67","28,37%","54,60%"
CPFF11,Títulos e Val. Mob.,"67,30","3,44%","10,96%","0,85",171.822.000,252.306,0,"0,00","0,00","0,00%","0,00%"
CPOF11,Híbrido,"108,50","4,93%","6,23%","0,97",253.943.000,7.715.160,3,"5,58","0,23","4,06%","69,86%"
CPSH11,Shoppings,"9,89","4,31%","11,14%","0,87",788.231.000,1.446.940,6,"833,85","55,07","6,60%","6,10%"
CPTR11,Títulos e Val. Mob.,"7,32","18,00%","15,26%","0,77",302.902.000,1.014.180,0,"0,00","0,00","0,00%","0,00%"
CPTS11,Títulos e Val. Mob.,"7,63","7,55%","10,69%","0,86",2.425.030.000,10.019.400,0,"0,00","0,00","0,00%","0,00%"
CRAA11,Títulos e Val. Mob.,"98,18","3,14%","13,42%","0,97",232.670.000,1.601.490,0,"0,00","0,00","0,00%","0,00%"
CRFF11,Títulos e Val. Mob.,"74,50","9,64%","9,46%","0,85",51.408.000,78.527,0,"0,00","0,00","0,00%","0,00%"
CTXT11,Lajes Corporativas,"7,21","-21,21%","0,00%","0,26",28.273.500,2.529,1,"602,36","10,21","1,69%","100,00%"
CVBI11,Títulos e Val. Mob.,"88,65","11,85%","11,51%","0,94",976.057.000,2.047.480,0,"0,00","0,00","0,00%","0,00%"
CXAG11,Outros,"73,40","12,08%","9,87%","0,64",153.452.000,135.648,32,"2.668,79","355,90","13,34%","0,00%"
CXCE11,Lajes Corporativas,"40,16","13,09%","11,09%","0,62",68.792.100,25.291,1,"3.256,67","467,31","14,35%","0,00%"
